Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA1325		conserved hypothetical protein	2.88	1.58E-06	119.26	1.53
PA1326	ilvA2	threonine dehydratase, biosynthetic	3.51	1.13E-11	191.39	1.81
PA1327		probable protease	-4.13	2.16E-07	254.00	-2.05
PA1328		probable transcriptional regulator	-2.13	0.0013439044	43.27	-1.09
PA1330		probable short-chain dehydrogenase	-4.04	6.70E-08	30.96	-2.02
PA1332		hypothetical protein	2.78	0.0498090935	27.72	1.47
PA1335	aauR	AauR	-3.11	0.0005066359	112.04	-1.64
PA1337	ansB	glutaminase-asparaginase	-2.17	1.35E-05	2086.38	-1.12
PA1343		hypothetical protein	2.90	0.0001685053	82.33	1.54
PA1344		probable short-chain dehydrogenase	-10.20	8.71E-14	356.49	-3.35
PA1345		hypothetical protein	-8.33	5.50E-14	91.78	-3.06
PA1346		hypothetical protein	-2.22	0.0073514132	13.79	-1.15
PA1348		hypothetical protein	-2.03	0.0051123498	89.95	-1.02
PA1350		hypothetical protein	-3.23	6.95E-05	47.29	-1.69
PA1351		probable sigma-70 factor, ECF subfamily	-4.05	0.0007730555	27.06	-2.02
PA1353		hypothetical protein	-5.80	3.14E-05	53.02	-2.54
PA1354		hypothetical protein	-5.28	5.19E-06	68.34	-2.40
PA1355		hypothetical protein	-5.40	0.0012528872	6.75	-2.43
PA1356		hypothetical protein	-3.37	0.0158201225	25.27	-1.75
PA1358		hypothetical protein	-4.30	3.53E-11	84.54	-2.11
PA1359		probable transcriptional regulator	2.22	1.23E-08	73.58	1.15
PA1360		conserved hypothetical protein	6.13	6.37E-12	116.90	2.62
PA1361	norM	NorM	3.64	2.23E-13	233.09	1.86
PA1362		hypothetical protein	-2.54	0.000539723	19.72	-1.34
PA1363		ECF sigma factor	2.39	0.0067755351	88.14	1.25
PA1364		probable transmembrane sensor	2.03	0.0027678014	63.22	1.02
PA1365		probable siderophore receptor	-1.67	0.0337584634	189.07	-0.74
PA1366		hypothetical protein	-2.72	2.49E-07	219.13	-1.44
PA1368		hypothetical protein	-1.93	0.0001447648	65.76	-0.95
PA1369		hypothetical protein	-1.80	0.000118131	481.65	-0.85
PA1370		hypothetical protein	-2.34	4.38E-09	667.38	-1.23
PA1371		hypothetical protein	-3.80	2.46E-07	273.69	-1.93
PA1372		hypothetical protein	-3.43	2.46E-14	1374.68	-1.78
PA1374		hypothetical protein	1.52	0.0252981769	46.79	0.60
PA1375	pdxB	erythronate-4-phosphate dehydrogenase	2.16	3.91E-09	283.43	1.11
PA1376	aceK	isocitrate dehydrogenase kinase/phosphatase	-3.07	2.42E-13	348.88	-1.62
PA1377		conserved hypothetical protein	-1.75	3.06E-06	163.50	-0.81
PA1378		hypothetical protein	-1.75	0.0004947372	69.70	-0.80
PA1384	galE	UDP-glucose 4-epimerase	2.05	0.0019030719	43.69	1.03
PA1385		probable glycosyl transferase	-1.61	0.0449635575	59.99	-0.69
PA1387		hypothetical protein	-1.74	0.0035408764	69.42	-0.80
PA1388		hypothetical protein	-2.06	0.0006632222	42.32	-1.05
PA1390		probable glycosyl transferase	-2.67	7.67E-05	45.26	-1.41
PA1391		probable glycosyl transferase	-1.83	0.0012613991	53.94	-0.87
PA1392		hypothetical protein	-1.78	0.0013215131	83.61	-0.84
PA1394		hypothetical protein	3.26	7.15E-05	33.58	1.70
PA1395		hypothetical protein	4.87	1.59E-10	123.93	2.29
PA1398		hypothetical protein	1.59	0.0196483101	105.67	0.67
PA1399		probable transcriptional regulator	-1.87	0.0115610251	19.69	-0.90
PA1400		probable pyruvate carboxylase	1.84	0.0021280112	96.44	0.88
PA1401		hypothetical protein	-2.31	0.001629641	35.34	-1.21
PA1402		hypothetical protein	-1.88	0.0404198873	16.45	-0.91
PA1404		hypothetical protein	-5.24	0.0004927836	14.40	-2.39
PA1407		hypothetical protein	3.17	1.12E-12	112.91	1.66
PA1408		hypothetical protein	-6.05	2.25E-08	108.54	-2.60
PA1411		hypothetical protein	1.51	0.0046149583	79.68	0.59
PA1413		probable transcriptional regulator	3.18	3.07E-07	96.97	1.67
PA1414		hypothetical protein	4.36	0.008985501	764.30	2.12
PA1415		hypothetical protein	-3.27	0.0002537461	34.98	-1.71
PA1416		conserved hypothetical protein	-2.37	0.0062671667	21.05	-1.24
PA1420		hypothetical protein	-2.56	0.0349760599	11.61	-1.36
PA1421	gbuA	guanidinobutyrase	-2.07	0.0194362884	59.11	-1.05
PA1422	gbuR	GbuR	2.15	2.52E-11	245.18	1.11
PA1425		probable ATP-binding component of ABC transporter	2.40	3.53E-08	112.82	1.26
PA1426		hypothetical protein	2.71	0.0050850989	13.24	1.44
PA1427		hypothetical protein	3.03	0.0002155083	19.41	1.60
PA1428		conserved hypothetical protein	7.89	8.04E-17	119.89	2.98
PA1429		probable cation-transporting P-type ATPase	4.42	0.005886048	289.93	2.14
PA1430	lasR	transcriptional regulator LasR	-4.35	8.81E-15	948.79	-2.12
PA1431	rsaL	regulatory protein RsaL	-11.77	8.17E-51	1183.39	-3.56
PA1432	lasI	autoinducer synthesis protein LasI	-2.02	8.78E-10	2959.37	-1.01
PA1433		conserved hypothetical protein	1.73	3.24E-06	213.04	0.79
PA1435		probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor	1.61	0.0417826496	68.36	0.69
PA1437		probable two-component response regulator	-2.34	9.87E-09	85.99	-1.23
PA1438		probable two-component sensor	-1.51	0.0033134477	97.49	-0.60
PA1439		conserved hypothetical protein	4.78	3.80E-28	188.45	2.26
PA1440		hypothetical protein	3.18	1.02E-25	1760.61	1.67
PA1445	fliO	flagellar protein FliO	1.70	2.35E-05	125.35	0.76
PA1446	fliP	flagellar biosynthetic protein FliP	1.65	9.88E-05	251.75	0.72
PA1448	fliR	flagellar biosynthetic protein FliR	1.64	0.0153828629	63.74	0.71
PA1450		conserved hypothetical protein	1.64	0.0013209728	123.74	0.71
PA1452	flhA	flagellar biosynthesis protein FlhA	1.86	8.77E-07	829.21	0.90
PA1455	fliA	sigma factor FliA	1.55	0.0001068482	1208.85	0.63
PA1458		probable two-component sensor	1.69	1.13E-06	2809.81	0.76
PA1460	motC	MotC	1.52	0.0003990731	414.19	0.61
PA1466		hypothetical protein	1.83	0.0196340678	24.85	0.87
PA1467		hypothetical protein	2.03	4.27E-08	115.99	1.02
PA1471		hypothetical protein	-2.73	2.49E-05	59.43	-1.45
PA1475	ccmA	heme exporter protein CcmA	2.79	3.15E-36	380.49	1.48
PA1476	ccmB	heme exporter protein CcmB	2.02	0.0001106532	230.02	1.01
PA1477	ccmC	heme exporter protein CcmC	3.84	9.46E-10	644.03	1.94
PA1478		hypothetical protein	4.60	1.67E-07	37.20	2.20
PA1479	ccmE	cytochrome C-type biogenesis protein CcmE	3.71	7.34E-07	234.61	1.89
PA1480	ccmF	cytochrome C-type biogenesis protein CcmF	2.64	0.0006834848	721.24	1.40
PA1481	ccmG	cytochrome C biogenesis protein CcmG	2.72	0.0023371179	210.84	1.44
PA1482	ccmH	cytochrome C-type biogenesis protein CcmH	3.16	0.0001961533	214.20	1.66
PA1483	cycH	cytochrome c-type biogenesis protein	3.70	0.000367262	544.17	1.89
PA1484		probable transcriptional regulator	-1.60	0.0312579377	58.01	-0.67
PA1485		probable amino acid permease	2.00	0.0119238201	19.08	1.00
PA1487		probable carbohydrate kinase	1.68	0.0444929847	86.23	0.75
PA1488		hypothetical protein	1.64	0.0322985975	64.85	0.72
PA1489		hypothetical protein	1.71	0.0151402084	109.66	0.77
PA1493	cysP	sulfate-binding protein of ABC transporter	-1.82	0.0012831612	975.80	-0.87
PA1495		hypothetical protein	-1.60	0.0300822361	33.17	-0.67
PA1496		probable potassium channel	-1.74	0.0095146177	51.68	-0.80
PA1497		probable transporter	4.28	0.0001653826	12.21	2.10
PA1505	moaA2	molybdopterin biosynthetic protein A2	-2.56	1.53E-22	391.05	-1.35
PA1507		probable transporter	1.86	0.0025231082	62.19	0.90
PA1508		hypothetical protein	-2.61	3.00E-07	45.19	-1.39
PA1509	tplEi	immunity protein, TplEi	-2.85	2.24E-14	478.88	-1.51
PA1510	tplE	type 6 PGAP1-like effector, TplE	-2.98	1.35E-14	401.29	-1.58
PA1511	vgrG2a	VgrG2a	-2.60	1.40E-07	132.11	-1.38
PA1514		ureidoglycolate hydrolaseYbbT	-2.14	0.0030865317	32.82	-1.10
PA1523	xdhB	xanthine dehydrogenase	-4.71	1.40E-07	82.72	-2.23
PA1524	xdhA	xanthine dehydrogenase	-4.11	3.22E-06	39.52	-2.04
PA1525	alkB2	alkane-1-monooxygenase 2	-2.14	0.0029462088	26.42	-1.10
PA1528	zipA	cell division protein ZipA	1.88	1.45E-19	1748.49	0.91
PA1529	lig	DNA ligase	1.90	1.19E-08	1078.49	0.93
PA1531		hypothetical protein	-3.48	1.08E-11	49.44	-1.80
PA1534	recR	recombination protein RecR	1.84	2.20E-08	421.22	0.88
PA1535		citronellyl-CoA dehydrogenase	2.09	5.13E-09	308.56	1.06
PA1536		conserved hypothetical protein	-1.71	0.0068701653	38.19	-0.77
PA1537		probable short-chain dehydrogenase	-1.89	0.0368181032	21.27	-0.92
PA1540		conserved hypothetical protein	3.03	0.0183917223	12.79	1.60
PA1541		probable drug efflux transporter	2.86	0.0305178192	21.89	1.52
PA1542		hypothetical protein	2.74	2.24E-08	85.05	1.46
PA1545		hypothetical protein	1.52	0.0077019988	613.74	0.61
PA1546	hemN	oxygen-independent coproporphyrinogen III oxidase	13.87	0.0006605075	982.48	3.79
PA1547		hypothetical protein	4.01	4.83E-09	64.11	2.00
PA1548		conserved hypothetical protein	3.38	3.28E-05	77.01	1.76
PA1549		probable cation-transporting P-type ATPase	2.83	0.0082529068	277.42	1.50
PA1550		hypothetical protein	2.77	0.0111812661	263.07	1.47
PA1552	ccoP1	Cytochrome c oxidase, cbb3-type, CcoP subunit	6.80	2.64E-23	3954.34	2.77
PA1552.1	ccoQ1	Cytochrome c oxidase, cbb3-type, CcoQ subunit	6.03	1.45E-16	366.17	2.59
PA1553	ccoO1	Cytochrome c oxidase, cbb3-type, CcoO subunit	6.12	2.18E-19	2256.54	2.61
PA1554	ccoN1	Cytochrome c oxidase, cbb3-type, CcoN subunit	3.73	5.61E-11	4070.32	1.90
PA1555	ccoP2	Cytochrome c oxidase, cbb3-type, CcoP subunit	4.74	0.0165104197	516.62	2.24
PA1555.1	ccoQ2	Cytochrome c oxidase, cbb3-type, CcoQ subunit	8.60	0.048298605	39.60	3.10
PA1556	ccoO2	Cytochrome c oxidase, cbb3-type, CcoO subunit	15.14	0.0012625783	316.15	3.92
PA1557	ccoN2	Cytochrome c oxidase, cbb3-type, CcoN subunit	16.82	0.0009187155	1100.78	4.07
PA1559		hypothetical protein	1.83	0.0020879866	110.75	0.87
PA1562	acnA	aconitate hydratase 1	-4.23	2.87E-07	613.81	-2.08
PA1563		conserved hypothetical protein	3.81	2.82E-40	459.11	1.93
PA1564		conserved hypothetical protein	4.29	2.96E-34	179.95	2.10
PA1566	pauA3	Glutamylpolyamine synthetase	1.95	0.017501084	17.70	0.96
PA1571		hypothetical protein	-3.49	1.49E-16	176.72	-1.80
PA1575		hypothetical protein	-4.42	1.72E-13	74.65	-2.14
PA1576		probable 3-hydroxyisobutyrate dehydrogenase	-1.65	0.0200109909	231.65	-0.72
PA1577		hypothetical protein	3.78	1.85E-10	50.06	1.92
PA1581	sdhC	succinate dehydrogenase (C subunit)	2.31	2.88E-11	3429.45	1.21
PA1582	sdhD	succinate dehydrogenase (D subunit)	2.77	3.02E-12	1226.15	1.47
PA1583	sdhA	succinate dehydrogenase (A subunit)	3.55	1.81E-15	6835.54	1.83
PA1584	sdhB	succinate dehydrogenase (B subunit)	5.60	9.89E-17	6038.26	2.49
PA1588	sucC	succinyl-CoA synthetase beta chain	-1.57	0.0012302221	9041.59	-0.65
PA1589	sucD	succinyl-CoA synthetase alpha chain	-1.56	0.0016005661	5566.39	-0.64
PA1590	braB	branched chain amino acid transporter	2.71	1.83E-17	1145.01	1.44
PA1591		hypothetical protein	3.38	3.04E-05	97.51	1.76
PA1592		hypothetical protein	-3.55	1.20E-06	1005.73	-1.83
PA1593		hypothetical protein	1.94	1.80E-07	131.02	0.95
PA1594		hypothetical protein	2.28	1.61E-09	102.16	1.19
PA1595		hypothetical protein	5.83	4.11E-37	304.88	2.54
PA1597		hypothetical protein	-15.73	2.63E-20	200.03	-3.98
PA1598		conserved hypothetical protein	-2.24	0.0083317104	14.76	-1.16
PA1601		probable aldehyde dehydrogenase	2.16	0.0094619351	50.54	1.11
PA1605		hypothetical protein	-3.27	1.28E-06	70.45	-1.71
PA1606		hypothetical protein	-2.71	0.000718275	18.75	-1.44
PA1607		conserved hypothetical protein	2.20	2.26E-05	245.09	1.14
PA1608		probable chemotaxis transducer	2.67	1.01E-10	279.03	1.42
PA1611		hybrid sensor kinase	-1.71	0.0001234316	290.14	-0.77
PA1612		hypothetical protein	-1.93	0.0048860105	51.83	-0.95
PA1616		conserved hypothetical protein	1.61	7.47E-07	179.56	0.68
PA1617		probable AMP-binding enzyme	-1.80	0.0096066429	510.23	-0.85
PA1618		conserved hypothetical protein	-4.32	7.37E-21	164.84	-2.11
PA1619		probable transcriptional regulator	-1.59	0.0038142524	63.51	-0.67
PA1623		conserved hypothetical protein	-1.83	8.60E-06	426.37	-0.87
PA1625		conserved hypothetical protein	2.22	8.85E-09	108.73	1.15
PA1626		probable major facilitator superfamily (MFS) transporter	2.09	4.57E-06	76.59	1.06
PA1637	kdpE	two-component response regulator KdpE	-2.38	1.10E-08	99.42	-1.25
PA1638		conserved hypothetical protein	1.86	6.14E-07	119.91	0.90
PA1639		hypothetical protein	2.23	4.96E-07	235.10	1.16
PA1641		hypothetical protein	-4.48	5.77E-07	79.51	-2.16
PA1644		conserved hypothetical protein	3.01	4.77E-15	309.27	1.59
PA1646		probable chemotaxis transducer	3.73	1.85E-17	141.27	1.90
PA1648		probable oxidoreductase	-6.63	1.52E-13	68.19	-2.73
PA1652		hypothetical protein	1.56	0.0048893726	67.03	0.64
PA1657	hsiB2	HsiB2	-2.65	5.19E-06	551.95	-1.40
PA1658	hsiC2	HsiC2	-3.02	5.82E-09	1400.39	-1.59
PA1659	hsiF2	HsiF2	-2.13	3.04E-08	190.61	-1.09
PA1660	hsiG2	HsiG2	-1.56	0.0106926287	410.96	-0.65
PA1662	clpV2	clpV2	-2.30	1.69E-05	541.54	-1.20
PA1663	sfa2	Sfa2	-3.07	1.19E-07	231.96	-1.62
PA1664	orfX	OrfX	-3.53	5.59E-05	26.79	-1.82
PA1665	fha2	Fha2	-2.54	2.03E-09	224.01	-1.34
PA1666	lip2	Lip2	-3.67	6.47E-09	123.58	-1.88
PA1667	hsiJ2	HsiJ2	-4.20	9.98E-15	263.09	-2.07
PA1668	dotU2	DotU2	-4.99	6.29E-16	147.33	-2.32
PA1669	icmF2	IcmF2	-3.39	2.39E-11	513.61	-1.76
PA1670	stp1	Stp1	-4.29	3.28E-13	77.54	-2.10
PA1671	stk1	Stk1	-3.87	1.23E-14	64.97	-1.95
PA1673		hypothetical protein	20.59	0.0001283175	778.23	4.36
PA1675		conserved hypothetical protein	2.50	1.45E-27	224.28	1.32
PA1677		conserved hypothetical protein	1.83	0.0051295172	467.04	0.87
PA1678		probable DNA methylase	2.32	2.36E-28	482.04	1.21
PA1681	aroC	chorismate synthase	1.95	8.59E-11	945.58	0.96
PA1683		probable sugar aldolase	-1.91	3.05E-06	161.58	-0.93
PA1684		1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase MtnD	1.51	6.37E-06	361.73	0.60
PA1687	speE	spermidine synthase	5.92	6.05E-61	669.21	2.57
PA1690	pscU	translocation protein in type III secretion	2.44	0.0024007662	49.62	1.29
PA1691	pscT	translocation protein in type III secretion	2.91	5.60E-08	36.70	1.54
PA1692		probable translocation protein in type III secretion	2.00	0.0004776754	24.69	1.00
PA1693	pscR	translocation protein in type III secretion	1.59	0.0047555682	123.13	0.67
PA1694	pscQ	translocation protein in type III secretion	1.98	8.81E-05	88.12	0.99
PA1695	pscP	translocation protein in type III secretion	4.50	1.09E-17	211.20	2.17
PA1696	pscO	translocation protein in type III secretion	3.94	1.25E-08	96.27	1.98
PA1697		ATP synthase in type III secretion system	5.46	1.02E-19	665.54	2.45
PA1698	popN	Type III secretion outer membrane protein PopN precursor	7.58	4.34E-13	571.11	2.92
PA1699	pcr1	Pcr1	7.58	9.23E-11	149.56	2.92
PA1700	pcr2	Pcr2	8.51	1.12E-13	90.72	3.09
PA1701	pcr3	Pcr3	7.46	1.09E-14	115.53	2.90
PA1702	pcr4	Pcr4	8.25	3.71E-16	49.38	3.04
PA1703	pcrD	type III secretory apparatus protein PcrD	6.85	5.31E-33	554.51	2.78
PA1704	pcrR	transcriptional regulator protein PcrR	4.18	1.10E-12	31.17	2.06
PA1705	pcrG	regulator in type III secretion	4.17	3.89E-09	90.58	2.06
PA1706	pcrV	type III secretion protein PcrV	2.78	0.000243466	470.20	1.47
PA1710	exsC	ExsC, exoenzyme S synthesis protein C precursor.	2.12	7.48E-05	809.34	1.08
PA1711	exsE	ExsE	2.50	3.85E-06	261.80	1.32
PA1712	exsB	exoenzyme S synthesis protein B	3.17	1.37E-09	533.64	1.67
PA1713	exsA	transcriptional regulator ExsA	2.44	0.0064443354	2021.82	1.29
PA1714	exsD	ExsD	3.17	1.12E-05	1295.83	1.66
PA1715	pscB	type III export apparatus protein	6.04	4.20E-08	247.07	2.59
PA1716	pscC	Type III secretion outer membrane protein PscC precursor	5.17	1.27E-10	788.92	2.37
PA1717	pscD	type III export protein PscD	3.25	0.0001332073	221.34	1.70
PA1723	pscJ	type III export protein PscJ	1.77	0.0405011804	192.38	0.83
PA1724	pscK	type III export protein PscK	2.71	0.0025957157	51.39	1.44
PA1726	bglX	periplasmic beta-glucosidase	1.75	1.58E-06	321.89	0.81
PA1727	mucR	MucR	5.52	1.30E-128	624.91	2.46
PA1728		hypothetical protein	-4.03	9.93E-08	280.10	-2.01
PA1730		conserved hypothetical protein	-2.54	0.0010544716	117.42	-1.34
PA1731		conserved hypothetical protein	-2.34	0.0370745572	36.94	-1.22
PA1732		conserved hypothetical protein	-3.79	0.0005388516	50.21	-1.92
PA1733		conserved hypothetical protein	-5.71	1.40E-07	130.50	-2.51
PA1734		hypothetical protein	-1.53	0.0132019785	58.26	-0.61
PA1735		hypothetical protein	2.03	0.0001231352	72.41	1.02
PA1736		probable acyl-CoA thiolase	-1.66	0.0007010812	89.44	-0.73
PA1737		probable 3-hydroxyacyl-CoA dehydrogenase	-2.73	1.01E-10	149.29	-1.45
PA1738		probable transcriptional regulator	-2.01	3.83E-06	157.55	-1.01
PA1739		probable oxidoreductase	2.67	3.23E-06	31.84	1.42
PA1741		hypothetical protein	2.50	6.10E-16	116.42	1.32
PA1742	pauD2	Glutamine amidotransferase class I	-2.06	0.0003829726	550.25	-1.04
PA1744		hypothetical protein	-12.88	0.0016874199	4.99	-3.69
PA1745		hypothetical protein	-27.70	4.78E-17	82.02	-4.79
PA1748		probable enoyl-CoA hydratase/isomerase	2.16	6.80E-07	337.00	1.11
PA1749		hypothetical protein	-1.72	2.01E-07	343.82	-0.78
PA1750		phospho-2-dehydro-3-deoxyheptonate aldolase	2.20	1.70E-08	1862.96	1.14
PA1751		hypothetical protein	-2.28	3.87E-05	110.98	-1.19
PA1752		hypothetical protein	-1.78	3.94E-07	421.64	-0.83
PA1753		conserved hypothetical protein	-1.81	1.49E-05	252.23	-0.86
PA1757	thrH	homoserine kinase	3.13	8.41E-30	394.63	1.64
PA1760		probable transcriptional regulator	-2.27	0.0032612608	489.92	-1.18
PA1761		hypothetical protein	-2.72	0.0013738159	160.48	-1.44
PA1762		hypothetical protein	-2.59	0.0056527654	89.14	-1.37
PA1765		hypothetical protein	-2.05	0.0014443106	63.38	-1.04
PA1766		hypothetical protein	1.91	0.0045936353	1152.09	0.93
PA1767		hypothetical protein	1.58	0.0330499347	1469.86	0.66
PA1768		hypothetical protein	1.80	0.0002024683	517.28	0.85
PA1770	ppsA	phosphoenolpyruvate synthase	2.18	9.21E-41	7229.43	1.12
PA1771	estX	EstX	3.63	4.04E-10	237.64	1.86
PA1772		probable methyltransferase	-3.29	2.02E-13	672.28	-1.72
PA1774	crfX	CrfX protein	2.13	1.16E-13	139.78	1.09
PA1775	cmpX	conserved cytoplasmic membrane protein, CmpX protein	2.37	1.67E-09	709.84	1.24
PA1779		assimilatory nitrate reductase	-2.72	0.0001038412	23.99	-1.44
PA1781	nirB	assimilatory nitrite reductase large subunit	-2.92	0.0128443401	8.68	-1.55
PA1784		hypothetical protein	-16.67	1.02E-10	193.07	-4.06
PA1786	nasS	NasS	1.75	0.0309140685	16.72	0.81
PA1789		hypothetical protein	-2.46	0.0108940182	618.85	-1.30
PA1790		hypothetical protein	4.88	8.17E-45	238.04	2.29
PA1791		hypothetical protein	12.31	1.42E-28	1216.83	3.62
PA1793	ppiB	peptidyl-prolyl cis-trans isomerase B	-1.54	0.0016030867	1824.31	-0.63
PA1794	glnS	glutaminyl-tRNA synthetase	2.18	1.34E-30	2515.81	1.13
PA1795	cysS	cysteinyl-tRNA synthetase	4.19	4.91E-102	2805.53	2.07
PA1796	folD	5,10-methylene-tetrahydrofolate dehydrogenase / cyclohydrolase	3.62	4.32E-32	943.35	1.85
PA1798	parS	two-component sensor, ParS	2.70	1.34E-15	224.77	1.43
PA1799	parR	two-component response regulator, ParR	2.20	2.48E-16	173.34	1.14
PA1800	tig	trigger factor	3.53	1.61E-20	12164.11	1.82
PA1803	lon	Lon protease	-1.88	5.73E-09	4097.49	-0.91
PA1805	ppiD	peptidyl-prolyl cis-trans isomerase D	2.08	1.08E-25	4371.33	1.06
PA1806	fabI	NADH-dependent enoyl-ACP reductase	-6.22	8.47E-24	173.80	-2.64
PA1807	nppD	NppD	-4.20	1.46E-11	185.78	-2.07
PA1808	nppC	NppC	-4.92	2.13E-12	88.36	-2.30
PA1809	nppB	NppB	-3.40	4.20E-08	96.30	-1.76
PA1810	nppA2	NppA2	-3.03	3.08E-09	319.32	-1.60
PA1811	nppA1	NppA1	-1.77	0.0003975115	231.43	-0.82
PA1815	rnhA	ribonuclease H	2.02	2.16E-15	373.82	1.02
PA1816	dnaQ	DNA polymerase III, epsilon chain	2.56	1.49E-52	519.76	1.35
PA1817		hypothetical protein	-2.79	8.01E-11	87.46	-1.48
PA1818	cadA	lysine decarboxylase	-1.96	0.0005383493	1182.01	-0.97
PA1822	fimL	hypothetical protein	1.72	5.77E-22	1318.14	0.78
PA1824		conserved hypothetical protein	8.01	2.65E-18	78.10	3.00
PA1825		hypothetical protein	3.09	1.79E-20	146.33	1.63
PA1826		probable transcriptional regulator	-1.98	0.0104045761	41.99	-0.98
PA1827		probable short-chain dehydrogenase	4.34	1.01E-14	47.85	2.12
PA1828		probable short-chain dehydrogenase	-5.12	1.17E-34	205.80	-2.36
PA1829		hypothetical protein	-4.45	2.75E-24	173.47	-2.16
PA1830		hypothetical protein	-2.44	3.95E-12	1901.76	-1.28
PA1831		hypothetical protein	-1.60	3.10E-05	259.62	-0.68
PA1833		probable oxidoreductase	-1.57	0.0007248752	649.31	-0.65
PA1835		hypothetical protein	-1.81	0.012885241	41.84	-0.86
PA1838	cysI	sulfite reductase	2.44	0.0075228272	854.56	1.29
PA1839		hypothetical protein	9.31	3.18E-56	334.99	3.22
PA1840		hypothetical protein	1.83	3.16E-08	168.81	0.88
PA1841		hypothetical protein	2.31	1.19E-19	211.76	1.21
PA1844	tse1	Tse1	2.86	1.37E-06	68.10	1.51
PA1846	cti	cis/trans isomerase	2.25	3.00E-10	394.39	1.17
PA1853		probable transcriptional regulator	4.91	2.26E-07	350.32	2.29
PA1854		conserved hypothetical protein	2.31	0.0307712143	11.18	1.21
PA1855		hypothetical protein	2.59	0.0447502845	5.88	1.37
PA1858	str	streptomycin 3''-phosphotransferase	-2.36	7.84E-06	37.25	-1.24
PA1859		probable transcriptional regulator	-1.82	0.0005516091	73.10	-0.87
PA1860		hypothetical protein	-6.55	7.21E-09	121.29	-2.71
PA1867	xphA	XphA	2.36	0.0265261823	13.47	1.24
PA1868	xqhA	secretion protein XqhA	4.10	4.77E-11	38.52	2.03
PA1869		probable acyl carrier protein	-1.98	0.0011360636	530.84	-0.98
PA1871	lasA	LasA protease precursor	-45.44	7.30E-27	1501.09	-5.51
PA1872		hypothetical protein	-1.85	1.77E-07	147.68	-0.89
PA1874		hypothetical protein	-31.54	8.56E-11	2135.95	-4.98
PA1875		probable outer membrane protein precursor	-9.41	7.28E-07	204.28	-3.23
PA1876		probable ATP-binding/permease fusion ABC transporter	-10.81	6.42E-08	275.02	-3.43
PA1877		probable secretion protein	-14.68	8.52E-08	172.89	-3.88
PA1878		hypothetical protein	-1.59	0.0087940866	37.93	-0.67
PA1880		probable oxidoreductase	-3.02	0.0003757621	235.05	-1.60
PA1881		probable oxidoreductase	-3.05	0.0001541457	63.10	-1.61
PA1882		probable transporter	1.77	1.35E-05	83.15	0.82
PA1883		probable NADH-ubiquinone/plastoquinone oxidoreductase	3.49	7.15E-05	18.21	1.80
PA1885		conserved hypothetical protein	-2.49	6.54E-05	28.21	-1.31
PA1887		hypothetical protein	-11.50	7.84E-07	57.67	-3.52
PA1888		hypothetical protein	-10.08	2.17E-07	164.87	-3.33
PA1889		hypothetical protein	-1.52	0.0144729787	79.60	-0.61
PA1890		probable glutathione S-transferase	-2.08	1.61E-06	129.25	-1.05
PA1892		hypothetical protein	-2.64	0.0194873615	24.42	-1.40
PA1893		hypothetical protein	-1.85	0.0486283515	60.09	-0.89
PA1894		hypothetical protein	-1.68	0.0412643942	101.05	-0.75
PA1895		hypothetical protein	-8.21	5.01E-07	56.93	-3.04
PA1898	qscR	quorum-sensing control repressor	2.13	0.0255947187	49.58	1.09
PA1899	phzA2	probable phenazine biosynthesis protein	-12.51	1.74E-10	140.05	-3.65
PA1900	phzB2	probable phenazine biosynthesis protein	-11.71	1.40E-09	293.05	-3.55
PA1901	phzC2	phenazine biosynthesis protein PhzC	-6.68	0.0002934153	22.75	-2.74
PA1905	phzG2	probable pyridoxamine 5'-phosphate oxidase	-4.14	0.0020320493	19.94	-2.05
PA1910	femA	ferric-mycobactin receptor, FemA	-2.58	2.65E-05	77.36	-1.37
PA1914		conserved hypothetical protein	-61.76	1.98E-10	287.92	-5.95
PA1915		hypothetical protein	-3.28	2.14E-13	142.19	-1.72
PA1921		hypothetical protein	-3.06	0.0011035944	12.75	-1.61
PA1926		Uncharacterized protein	4.21	1.13E-28	624.23	2.08
PA1927	metE	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	3.28	1.16E-11	95.34	1.72
PA1930		probable chemotaxis transducer	-32.83	1.58E-17	181.13	-5.04
PA1931		probable ferredoxin	-5.55	0.0001089036	18.82	-2.47
PA1932		probable hydroxylase molybdopterin-containing subunit	-2.70	0.0141911187	12.04	-1.43
PA1933		probable hydroxylase large subunit	-1.85	0.007803463	42.29	-0.89
PA1934		hypothetical protein	-2.63	1.50E-13	97.39	-1.39
PA1935		hypothetical protein	-2.11	5.54E-07	74.13	-1.08
PA1939		hypothetical protein	-4.95	9.93E-67	1466.50	-2.31
PA1940		hypothetical protein	-1.86	0.00032875	116.15	-0.89
PA1941		hypothetical protein	-1.88	3.96E-07	239.84	-0.91
PA1943		hypothetical protein	-5.88	2.89E-17	93.21	-2.56
PA1944		hypothetical protein	-7.88	7.12E-14	276.28	-2.98
PA1945		probable transcriptional regulator	-5.50	2.99E-10	66.13	-2.46
PA1948	rbsC	membrane protein component of ABC ribose transporter	1.56	0.0192234466	66.79	0.64
